nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000001,Fred Astaire,1899,1987,"actor,miscellaneous,producer","tt0072308,tt0050419,tt0053137,tt0027125"
nm0000002,Lauren Bacall,1924,2014,"actress,soundtrack,archive_footage","tt0037382,tt0075213,tt0117057,tt0038355"
nm0000003,Brigitte Bardot,1934,\N,"actress,music_department,producer","tt0057345,tt0049189,tt0056404,tt0054452"
nm0000004,John Belushi,1949,1982,"actor,writer,music_department","tt0072562,tt0077975,tt0080455,tt0078723"
nm0000005,Ingmar Bergman,1918,2007,"writer,director,actor","tt0050986,tt0083922,tt0050976,tt0069467"
nm0000006,Ingrid Bergman,1915,1982,"actress,producer,soundtrack","tt0034583,tt0036855,tt0038109,tt0038787"
nm0000007,Humphrey Bogart,1899,1957,"actor,producer,miscellaneous","tt0034583,tt0042593,tt0043265,tt0037382"
nm0000008,Marlon Brando,1924,2004,"actor,director,writer","tt0078788,tt0068646,tt0047296,tt0070849"
nm0000009,Richard Burton,1925,1984,"actor,producer,director","tt0061184,tt0087803,tt0059749,tt0057877"
nm0000010,James Cagney,1899,1986,"actor,director,producer","tt0029870,tt0031867,tt0042041,tt0035575"
nm0000011,Gary Cooper,1901,1961,"actor,stunts,producer","tt0044706,tt0034167,tt0035896,tt0027996"
nm0000012,Bette Davis,1908,1989,"actress,make_up_department,producer","tt0042192,tt0056687,tt0031210,tt0035140"
nm0000013,Doris Day,1922,2019,"actress,producer,miscellaneous","tt0048317,tt0045591,tt0053172,tt0049470"
nm0000014,Olivia de Havilland,1916,2020,"actress,soundtrack,archive_footage","tt0031381,tt0041452,tt0029843,tt0040806"
nm0000015,James Dean,1931,1955,"actor,miscellaneous,archive_footage","tt0048028,tt0048545,tt0049261,tt0040051"
nm0000016,Georges Delerue,1925,1992,"composer,music_department,actor","tt0091763,tt0096320,tt0069946,tt8847712"
nm0000017,Marlene Dietrich,1901,1992,"actress,music_department,soundtrack","tt0051201,tt0055031,tt0052311,tt0021156"
nm0000018,Kirk Douglas,1916,2020,"actor,producer,director","tt0080736,tt0054331,tt0049456,tt0050825"
nm0000019,Federico Fellini,1920,1993,"writer,director,actor","tt0050783,tt0056801,tt0053779,tt0071129"
